	Time	Dose	Vth	Mobility	SS
128	15971.0	141.4364640883978	0.4197908121181128	6.5465107043192186	0.18517978202498636
129	16011.0	142.5414364640884	0.4294791613990706	6.547414930181851	0.18807933892923337
130	16051.0	143.646408839779	0.37625039319550263	6.551565350867435	0.18641869685664078
131	16331.0	144.75138121546962	0.3896771502531271	6.5526143527840075	0.17758971532008327
132	16371.0	145.85635359116023	0.39906585238629816	6.553340127019672	0.18040371687470483
133	16411.0	146.96132596685084	0.3544227603445651	6.563151870259277	0.18741555907068463
134	16691.0	148.06629834254144	0.36868495450115796	6.564799584418958	0.18010256031339278
135	16731.0	149.17127071823205	0.3777493401738283	6.565277258653365	0.17591804156614935
136	16771.0	150.27624309392266	0.32414431295849466	6.568349803951032	0.19027197265048043
137	17051.0	151.38121546961327	0.3458768609548488	6.575608057007916	0.19162256895382648
138	17091.0	152.48618784530387	0.3556627426568861	6.576685005581824	0.18715667851356504
139	17131.0	153.59116022099448	0.30366886842070695	6.580357233295238	0.18835251738974668
140	17411.0	154.6961325966851	0.31781378690486717	6.581988198527699	0.189278476907976
141	17451.0	155.8011049723757	0.3265704685830133	6.58211996335362	0.18989836664457266
142	17491.0	156.9060773480663	0.28265372914474346	6.591858753054169	0.18328189602218992
143	17771.0	158.0110497237569	0.2964854994711186	6.593235588341012	0.18688121504814312
144	17811.0	159.11602209944752	0.30607334830872185	6.593967037483289	0.1890148787743075
145	17852.0	160.22099447513813	0.2539992134845375	6.5966725134263955	0.17863968340514344
146	18131.0	161.32596685082873	0.2755304478436926	6.603912426006816	0.1845331375034981
147	18171.0	162.43093922651934	0.28533877029726923	6.604834746733839	0.1864079352048639
148	18211.0	163.53591160220995	0.23406896767198268	6.607841144015449	0.17849734719271249
149	18491.0	164.64088397790056	0.24727697787748495	6.6087682322402586	0.1758232999546384
150	18531.0	165.74585635359117	0.2571413592723621	6.609803618839053	0.17943392355979274
151	18571.0	166.85082872928177	0.2136774038698721	6.618483008195615	0.18757654706511587
152	18851.0	167.95580110497238	0.22735568093926076	6.619733233178493	0.18287710982161726
153	18891.0	169.060773480663	0.23683725094472144	6.620369210213347	0.17965140413241598
154	18931.0	170.1657458563536	0.1868128099289682	6.623360876739448	0.18817922990444985
155	19211.0	171.2707182320442	0.20824170607563047	6.630467830223069	0.18932004572419578
156	19251.0	172.3756906077348	0.21759860039757817	6.631214778965993	0.18517034021505088
157	19292.0	173.48066298342542	0.1678375787714981	6.6342278165189015	0.1825702524929202
158	19571.0	174.58563535911603	0.18142306316373047	6.635471244999197	0.18647202307295332
159	19611.0	175.69060773480663	0.1902775175583534	6.635766413343572	0.1891786184177739
160	19651.0	176.79558011049724	0.14826662776551633	6.644216090250359	0.17890270097860914
161	19931.0	177.90055248618785	0.1620540696294666	6.645280603107585	0.17943450830137347
162	19971.0	179.00552486187846	0.17175640190507085	6.646487782373126	0.18255288331269684
163	20012.0	180.11049723756906	0.12891108789971098	6.653694080182891	0.18468787667342954
164	20291.0	181.21546961325967	0.1426313238122059	6.654764512638144	0.176964105906705
165	20331.0	182.32044198895028	0.15249600793628573	6.655954729133367	0.17494542818154685
166	20372.0	183.4254143646409	0.10282826919318286	6.657905629419455	0.1902838359395993
167	20651.0	184.5303867403315	0.11762722324509131	6.659971051077152	0.18644068178102338
168	20691.0	185.6353591160221	0.12650632433700815	6.660455129589058	0.18501650751348872
169	20732.0	186.7403314917127	0.08397555953910722	6.667650761611244	0.186337274383249
170	21011.0	187.84530386740332	0.09907887586343346	6.669944233090145	0.19018308534792402
171	21052.0	188.95027624309392	0.10718619418629685	6.669637603571502	0.19170651872428285
172	21092.0	190.05524861878453	0.06619600548076543	6.677513056861452	0.18131705115495791
173	21371.0	191.16022099447514	0.07989886575618374	6.678783315723602	0.18750065303941973
174	21411.0	192.26519337016575	0.08887580519563623	6.679158787086025	0.18899371267678247
175	21452.0	193.37016574585635	0.04043158977485234	6.68117946953173	0.17560961782894932
176	21731.0	194.47513812154696	0.06125452593267657	6.687865361752505	0.18166767958021857
177	21771.0	195.58011049723757	0.07069510215383792	6.688495760847033	0.18571604881198206
178	21812.0	196.68508287292818	0.022099791981415852	6.6904479072925	0.18489921264672607
179	22091.0	197.79005524861878	0.03594554343468129	6.691817166389213	0.1801360892279586
180	22132.0	198.8950276243094	0.04504029335298824	6.692364297923675	0.17300082436362518
